geo,time,gender,life_expectancy
aze,1984,female,67.97
aze,1985,female,68.142
aze,1986,female,68.309
aze,1987,female,68.463
aze,1988,female,68.598
aze,1989,female,68.714
aze,1990,female,68.817
aze,1991,female,68.917
aze,1992,female,69.024
aze,1993,female,69.148
aze,1994,female,69.286
aze,1995,female,69.428
aze,1996,female,69.553
aze,1997,female,69.653
aze,1998,female,69.729
aze,1999,female,69.797
aze,2000,female,69.891
aze,2001,female,70.06
aze,2002,female,70.33
aze,2003,female,70.713
aze,2004,female,71.2
aze,2005,female,71.76
aze,2006,female,72.347
aze,2007,female,72.91
aze,2008,female,73.405
aze,2009,female,73.813
aze,2010,female,74.127
aze,2011,female,74.355
aze,2012,female,74.527
aze,2013,female,74.672
aze,2014,female,74.801
aze,2015,female,74.924
aze,2016,female,75.046
bdi,1960,female,42.851
bdi,1961,female,43.164
bdi,1962,female,43.482
bdi,1963,female,43.803
bdi,1964,female,44.121
bdi,1965,female,44.422
bdi,1966,female,44.69
bdi,1967,female,44.917
bdi,1968,female,45.107
bdi,1969,female,45.268
bdi,1970,female,45.423
bdi,1971,female,45.601
bdi,1972,female,45.825
bdi,1973,female,46.111
bdi,1974,female,46.458
bdi,1975,female,46.861
bdi,1976,female,47.303
bdi,1977,female,47.755
bdi,1978,female,48.194
bdi,1979,female,48.606
bdi,1980,female,48.992
bdi,1981,female,49.361
bdi,1982,female,49.72
bdi,1983,female,50.064
bdi,1984,female,50.377
bdi,1985,female,50.609
bdi,1986,female,50.701
bdi,1987,female,50.632
bdi,1988,female,50.415
bdi,1989,female,50.088
bdi,1990,female,49.738
bdi,1991,female,49.477
bdi,1992,female,49.393
bdi,1993,female,49.535
bdi,1994,female,49.907
bdi,1995,female,50.469
bdi,1996,female,51.138
bdi,1997,female,51.807
bdi,1998,female,52.393
bdi,1999,female,52.864
bdi,2000,female,53.213
bdi,2001,female,53.461
bdi,2002,female,53.668
bdi,2003,female,53.886
bdi,2004,female,54.134
bdi,2005,female,54.433
bdi,2006,female,54.795
bdi,2007,female,55.211
bdi,2008,female,55.671
bdi,2009,female,56.167
bdi,2010,female,56.685
bdi,2011,female,57.208
bdi,2012,female,57.72
bdi,2013,female,58.208
bdi,2014,female,58.666
bdi,2015,female,59.092
bdi,2016,female,59.492
bel,1960,female,72.77
bel,1961,female,73.63
bel,1962,female,73.18
bel,1963,female,73.14
bel,1964,female,73.9
bel,1965,female,73.76
bel,1966,female,73.8
bel,1967,female,74.25
bel,1968,female,73.92
bel,1969,female,74.13
bel,1970,female,74.25
bel,1971,female,74.4
bel,1972,female,74.76
bel,1973,female,74.98
bel,1974,female,75.31
bel,1975,female,75.28
bel,1976,female,75.49
bel,1977,female,76.18
bel,1978,female,76.14
bel,1979,female,76.61
bel,1980,female,76.69
bel,1981,female,77.12
bel,1982,female,77.33
bel,1983,female,77.27
bel,1984,female,77.98
bel,1985,female,78.08
bel,1986,female,78.23
bel,1987,female,78.9
bel,1988,female,79.1
bel,1989,female,79.09
bel,1990,female,79.54
bel,1991,female,79.67
bel,1992,female,79.87
bel,1993,female,79.9
bel,1994,female,80.19
bel,1995,female,80.38
bel,1996,female,80.66
bel,1997,female,80.7
bel,1998,female,80.7
bel,1999,female,81
bel,2000,female,81
bel,2001,female,81.2
bel,2002,female,81.2
bel,2003,female,81.1
bel,2004,female,81.9
