geo,time,POP,GDP,LEX,world_region,
gbr,1826,,3388,39.83,europe,0
geo,1826,,560,31.87,europe,0
gha,1826,,710,28,africa,0
gib,1826,,,,europe,0
gin,1826,,457,29.77,africa,0
glp,1826,,27.66,,americas,0
gmb,1826,,826,28.8,africa,0
gnb,1826,,783,32,africa,0
gnq,1826,,368,29.8,africa,0
grc,1826,,1490,36.6,europe,0
grd,1826,,986,31.4,americas,0
grl,1826,,421,33.87,europe,0
gtm,1826,,903,25.8,americas,0
guf,1826,,30.5,,americas,0
gum,1826,,27.5,,asia,0
guy,1826,,1268,31.12,americas,0
hkg,1826,,1023,34.9,asia,0
hnd,1826,,730,33.9,americas,0
hos,1826,,,,europe,0
hrv,1826,,1418,36.1,europe,0
hti,1826,,675,29,americas,0
hun,1826,,1312,36,europe,0
idn,1826,,1006,30,asia,0
ind,1826,,1050,25.44,asia,0
irl,1826,,1580,38.3,europe,0
irn,1826,,991,25.6,asia,0
irq,1826,,996,31.2,asia,0
isl,1826,,992,25.63,europe,0
isr,1826,,883,32,asia,0
ita,1826,,2582,29.69,europe,0
jam,1826,,1116,34.2,americas,0
jor,1826,,1003,31.7,asia,0
jpn,1826,,1088,36.41,asia,0
kaz,1826,,1213,26.2,asia,0
ken,1826,,926,25.5,africa,0
kgz,1826,,537,23.94,asia,0
khm,1826,,914,35,asia,0
kir,1826,,564,24.9,asia,0
kna,1826,,1216,,americas,0
kor,1826,,560,25.8,asia,0
kwt,1826,,1209,26,asia,0
lao,1826,,880,31.9,asia,0
lbn,1826,,1145,29.7,asia,0
lbr,1826,,812,31.1,africa,0
lby,1826,,1133,33.1,africa,0
lca,1826,,894,28.01,americas,0
lie,1826,,,,europe,0
lka,1826,,906,32.6,asia,0
lso,1826,,399,32.8,africa,0
ltu,1826,,1352,28.9,europe,0
lux,1826,,1564,36.9,europe,0
lva,1826,,799,33,europe,0
mac,1826,,1016,34.7,asia,0
mar,1826,,724,33.1,africa,0
mco,1826,,2145,,europe,0
mda,1826,,643,33.15,europe,0
mdg,1826,,591,30.5,africa,0
mdv,1826,,845,32.65,asia,0
mex,1826,,1364,26.9,americas,0
mhl,1826,,548,,asia,0
mkd,1826,,727,36.1,europe,0
mli,1826,,606,26.41,africa,0
mlt,1826,,828,28.7,europe,0
mmr,1826,,843,30.8,asia,0
mne,1826,,1114,35.4,europe,0
mng,1826,,600,31.8,asia,0
mnp,1826,,,,asia,0
moz,1826,,396,30.28,africa,0
mrt,1826,,545,32,africa,0
msr,1826,,,,americas,0
mtq,1826,,30.15,,americas,0
mus,1826,,970,28.7,africa,0
mwi,1826,,351,30.3,africa,0
mys,1826,,1012,30.6,asia,0
myt,1826,,32.5,,africa,0
nam,1826,,593,32.4,africa,0
ncl,1826,,26,,asia,0
ner,1826,,461,30.8,africa,0
nga,1826,,907,30.4,africa,0
nic,1826,,1040,25.4,americas,0
niu,1826,,,,asia,0
nld,1826,,3935,39.86,europe,0
nor,1826,,1369,47.63,europe,0
npl,1826,,656,32.8,asia,0
nru,1826,,572,,asia,0
nzl,1826,,661,34.05,asia,0
omn,1826,,941,32.3,asia,0
pak,1826,,1020,25.8,asia,0
pan,1826,,909,32.9,americas,0
per,1826,,1226,35.7,americas,0
phl,1826,,973,30.9,asia,0
plw,1826,,859,,asia,0
png,1826,,559,31.5,asia,0
pol,1826,,1338,35.9,europe,0
pri,1826,,1425,30.43,americas,0
prk,1826,,563,26,asia,0
prt,1826,,1690,35.6,europe,0
pry,1826,,903,35.5,americas,0
pse,1826,,1224,32.1,asia,0
pyf,1826,,25.6,,asia,0
qat,1826,,1209,30.8,asia,0
reu,1826,,33,,africa,0
rou,1826,,887,35.7,europe,0
rus,1826,,1522,29.57,europe,0
rwa,1826,,445,31.8,africa,0
sau,1826,,864,32.1,asia,0
sdn,1826,,535,31.4,africa,0
sen,1826,,513,25.2,africa,0
sgp,1826,,1038,34,asia,0
shn,1826,,,,africa,0
slb,1826,,372,25.1,asia,0
sle,1826,,758,25.1,africa,0
slv,1826,,1028,28.7,americas,0
smr,1826,,1469,,europe,0
som,1826,,711,29.4,africa,0
spm,1826,,,,americas,0
srb,1826,,1430,35.5,europe,0
ssd,1826,,524,26.67,africa,0
stp,1826,,892,31,africa,0
sur,1826,,1709,32.9,americas,0
svk,1826,,1503,36.4,europe,0
svn,1826,,1484,36.6,europe,0
swe,1826,,1590,43.08,europe,0
swz,1826,,505,32.3,africa,0
syc,1826,,877,37,africa,0
syr,1826,,1092,31.1,asia,0
tca,1826,,508,,americas,0
tcd,1826,,432,30.9,africa,0
tgo,1826,,705,31.3,africa,0
tha,1826,,942,30.4,asia,0
tjk,1826,,580,24.24,asia,0
tkl,1826,,,,asia,0
tkm,1826,,1004,24,asia,0
tls,1826,,548,28.95,asia,0
ton,1826,,678,28.2,asia,0
tto,1826,,1275,32.9,americas,0
tun,1826,,738,28.8,africa,0
tur,1826,,1264,35,europe,0
tuv,1826,,735,,asia,0
twn,1826,,999,28.3,asia,0
tza,1826,,573,32.2,africa,0
uga,1826,,479,25.3,africa,0
ukr,1826,,812,36.6,europe,0
ury,1826,,2028,32.9,americas,0
usa,1826,,2447,39.41,americas,0
uzb,1826,,513,26.93,asia,0
vct,1826,,875,25.99,americas,0
ven,1826,,702,32.2,americas,0
vgb,1826,,,,americas,0
vir,1826,,33.4,,americas,0
vnm,1826,,860,32,asia,0
vut,1826,,599,24.3,asia,0
wlf,1826,,,,asia,0
wsm,1826,,1433,25.4,asia,0
yem,1826,,944,23.39,asia,0
zaf,1826,,1691,33.5,africa,0
zmb,1826,,706,32.6,africa,0
zwe,1826,,896,33.7,africa,0
abw,1828,,881,34.42,americas,0
afg,1828,,621,27.92,asia,0
ago,1828,,698,26.98,africa,0
aia,1828,,,,americas,0
alb,1828,,681,35.4,europe,0
and,1828,,1365,,europe,0
ant,1828,,,,americas,0
are,1828,,1108,30.7,asia,0
arg,1828,,1693,33.2,americas,0
arm,1828,,531,34,europe,0
asm,1828,,,,asia,0
atg,1828,,801,33.54,americas,0
aus,1828,,1092,34.05,asia,0
aut,1828,,2277,34.4,europe,0
aze,1828,,814,29.17,europe,0
bdi,1828,,429,31.5,africa,0
bel,1828,,2473,40.23,europe,0
ben,1828,,622,31,africa,0
bfa,1828,,485,29.2,africa,0
bgd,1828,,875,25.5,asia,0
bgr,1828,,1136,37.03,europe,0
bhr,1828,,1393,30.3,asia,0
bhs,1828,,1530,35.18,americas,0
bih,1828,,698,35.1,europe,0
blr,1828,,644,36.2,europe,0
blz,1828,,613,26.5,americas,0
bmu,1828,,1299,,americas,0
bol,1828,,924,33,americas,0
bra,1828,,1131,31.99,americas,0
brb,1828,,967,32.12,americas,0
brn,1828,,1558,29.2,asia,0
btn,1828,,641,28.8,asia,0
bwa,1828,,414,33.6,africa,0
caf,1828,,442,30,africa,0
can,1828,,1617,39.04,americas,0
chanisl,1828,,,,europe,0
che,1828,,2946,38,europe,0
chl,1828,,995,32,americas,0
chn,1828,,985,32,asia,0
civ,1828,,909,31.16,africa,0
cmr,1828,,653,28.75,africa,0
cod,1828,,544,31.6,africa,0
cog,1828,,622,32.7,africa,0
cok,1828,,,,asia,0
col,1828,,985,32,americas,0
com,1828,,716,32.1,africa,0
cpv,1828,,549,33.8,africa,0
cri,1828,,850,30.21,americas,0
cub,1828,,1195,35.76,americas,0
cym,1828,,1100,,americas,0
cyp,1828,,941,38.5,europe,0
cze,1828,,2050,34.95,europe,0
deu,1828,,1995,38.37,europe,0
dji,1828,,822,29.9,africa,0
dma,1828,,702,,americas,0
dnk,1828,,2250,36.64,europe,0
dom,1828,,699,29.9,americas,0
dza,1828,,801,28.82,africa,0
ecu,1828,,558,32.9,americas,0
egy,1828,,823,33,africa,0
eri,1828,,545,30.2,africa,0
esh,1828,,34.75,,africa,0
esp,1828,,1551,29.5,europe,0
est,1828,,1011,35.46,europe,0
eth,1828,,526,28,africa,0
fin,1828,,1345,40.65,europe,0
fji,1828,,809,26.1,asia,0
flk,1828,,,,americas,0
fra,1828,,1741,37.53,europe,0
fro,1828,,,,europe,0
fsm,1828,,527,26.7,asia,0
gab,1828,,392,30.6,africa,0
gbm,1828,,,,europe,0
gbr,1828,,3564,42.03,europe,0
geo,1828,,566,31.87,europe,0
gha,1828,,711,28,africa,0
gib,1828,,,,europe,0
gin,1828,,459,29.79,africa,0
glp,1828,,27.66,,americas,0
gmb,1828,,827,28.8,africa,0
gnb,1828,,785,32,africa,0
gnq,1828,,369,29.8,africa,0
grc,1828,,1515,36.6,europe,0
grd,1828,,995,31.4,americas,0
grl,1828,,430,33.87,europe,0
gtm,1828,,917,25.8,americas,0
guf,1828,,30.5,,americas,0
gum,1828,,27.5,,asia,0
guy,1828,,1285,31.12,americas,0
hkg,1828,,1028,34.9,asia,0
hnd,1828,,749,33.9,americas,0
hos,1828,,,,europe,0
hrv,1828,,1441,36.1,europe,0
hti,1828,,689,29,americas,0
hun,1828,,1333,36,europe,0
idn,1828,,1009,30,asia,0
ind,1828,,1051,25.44,asia,0
irl,1828,,1626,38.3,europe,0
irn,1828,,994,25.6,asia,0
irq,1828,,1004,31.2,asia,0
isl,1828,,1013,29.6,europe,0
isr,1828,,883,32,asia,0
ita,1828,,2511,29.69,europe,0
jam,1828,,1098,34.2,americas,0
jor,1828,,1011,31.7,asia,0
jpn,1828,,1091,36.41,asia,0
kaz,1828,,1229,26.2,asia,0
ken,1828,,932,25.5,africa,0
kgz,1828,,547,23.94,asia,0
khm,1828,,917,35,asia,0
kir,1828,,565,24.9,asia,0
kna,1828,,1233,,americas,0
kor,1828,,559,25.8,asia,0
kwt,1828,,1218,26,asia,0
lao,1828,,884,31.9,asia,0
lbn,1828,,1161,29.7,asia,0
lbr,1828,,817,31.1,africa,0
lby,1828,,1161,33.1,africa,0
lca,1828,,900,28.01,americas,0
lie,1828,,,,europe,0
lka,1828,,907,32.6,asia,0
lso,1828,,399,32.8,africa,0
ltu,1828,,1369,28.9,europe,0
lux,1828,,1601,36.9,europe,0
lva,1828,,810,33,europe,0
mac,1828,,1023,34.7,asia,0
mar,1828,,727,33.1,africa,0
mco,1828,,2196,,europe,0
mda,1828,,650,33.15,europe,0
mdg,1828,,597,30.5,africa,0
mdv,1828,,844,32.65,asia,0
mex,1828,,1358,26.9,americas,0
mhl,1828,,548,,asia,0
mkd,1828,,739,36.1,europe,0
mli,1828,,606,26.41,africa,0
mlt,1828,,843,28.7,europe,0
mmr,1828,,843,30.8,asia,0
mne,1828,,1132,35.4,europe,0
mng,1828,,602,31.8,asia,0
mnp,1828,,,,asia,0
moz,1828,,397,30.28,africa,0
mrt,1828,,550,32,africa,0
msr,1828,,,,americas,0
mtq,1828,,30.15,,americas,0
mus,1828,,980,28.7,africa,0
mwi,1828,,351,30.3,africa,0
mys,1828,,1016,30.6,asia,0
myt,1828,,32.5,,africa,0
nam,1828,,610,32.4,africa,0
ncl,1828,,26,,asia,0
ner,1828,,465,30.8,africa,0
nga,1828,,915,30.4,africa,0
nic,1828,,1063,25.4,americas,0
niu,1828,,,,asia,0
nld,1828,,4243,39.86,europe,0
nor,1828,,1386,46.22,europe,0
npl,1828,,656,32.8,asia,0
nru,1828,,577,,asia,0
nzl,1828,,661,34.05,asia,0
omn,1828,,949,32.3,asia,0
pak,1828,,1020,25.8,asia,0
pan,1828,,930,32.9,americas,0
per,1828,,1232,35.7,americas,0
phl,1828,,976,30.9,asia,0
plw,1828,,865,,asia,0
png,1828,,563,31.5,asia,0
pol,1828,,1349,35.9,europe,0
pri,1828,,1440,30.43,americas,0
prk,1828,,562,26,asia,0
prt,1828,,1691,35.6,europe,0
pry,1828,,926,35.5,americas,0
pse,1828,,1225,32.1,asia,0
pyf,1828,,25.6,,asia,0
qat,1828,,1218,30.8,asia,0
reu,1828,,33,,africa,0
rou,1828,,912,35.7,europe,0
rus,1828,,1542,29.57,europe,0
rwa,1828,,447,31.8,africa,0
sau,1828,,866,32.1,asia,0
sdn,1828,,540,31.4,africa,0
sen,1828,,518,25.2,africa,0
sgp,1828,,1042,34,asia,0
shn,1828,,,,africa,0
slb,1828,,374,25.1,asia,0
sle,1828,,765,25.1,africa,0
slv,1828,,1045,28.7,americas,0
smr,1828,,1474,,europe,0
som,1828,,712,29.4,africa,0
spm,1828,,,,americas,0
srb,1828,,1454,35.5,europe,0
ssd,1828,,529,26.67,africa,0
stp,1828,,896,31,africa,0
sur,1828,,1732,32.9,americas,0
svk,1828,,1527,36.4,europe,0
svn,1828,,1508,36.6,europe,0
swe,1828,,1543,37.74,europe,0
swz,1828,,510,32.3,africa,0
syc,1828,,884,37,africa,0
syr,1828,,1095,31.1,asia,0
tca,1828,,515,,americas,0
tcd,1828,,436,30.9,africa,0
tgo,1828,,711,31.3,africa,0
tha,1828,,945,30.4,asia,0
tjk,1828,,586,24.24,asia,0
tkl,1828,,,,asia,0
tkm,1828,,1017,24,asia,0
tls,1828,,551,28.95,asia,0
ton,1828,,683,28.2,asia,0
tto,1828,,1289,32.9,americas,0
tun,1828,,746,28.8,africa,0
tur,1828,,1277,35,europe,0
tuv,1828,,740,,asia,0
twn,1828,,999,28.3,asia,0
tza,1828,,576,32.2,africa,0
uga,1828,,483,25.3,africa,0
ukr,1828,,823,36.6,europe,0
ury,1828,,2126,32.9,americas,0
usa,1828,,2458,39.41,americas,0
uzb,1828,,516,26.93,asia,0
vct,1828,,887,25.99,americas,0
ven,1828,,708,32.2,americas,0
vgb,1828,,,,americas,0
vir,1828,,33.4,,americas,0
vnm,1828,,858,32,asia,0
vut,1828,,603,24.3,asia,0
wlf,1828,,,,asia,0
wsm,1828,,1443,25.4,asia,0
yem,1828,,949,23.39,asia,0
zaf,1828,,1707,33.5,africa,0
zmb,1828,,710,32.6,africa,0
zwe,1828,,899,33.7,africa,0
abw,1830,,893,34.42,americas,0
afg,1830,,625,27.9,asia,0
ago,1830,,704,26.98,africa,0
aia,1830,,,,americas,0
alb,1830,,684,35.4,europe,0
and,1830,,1397,,europe,0
ant,1830,,,,americas,0
are,1830,,1116,30.7,asia,0
arg,1830,,1741,33.2,americas,0
arm,1830,,535,34,europe,0
asm,1830,,,,asia,0
atg,1830,,812,33.54,americas,0
aus,1830,,1399,34.05,asia,0
aut,1830,,2352,34.4,europe,0
aze,1830,,823,29.17,europe,0
bdi,1830,,430,31.5,africa,0
bel,1830,,2487,40.24,europe,0
ben,1830,,628,31,africa,0
bfa,1830,,486,29.2,africa,0
bgd,1830,,876,25.5,asia,0
bgr,1830,,1147,37.12,europe,0
bhr,1830,,1405,30.3,asia,0
bhs,1830,,1550,35.18,americas,0
bih,1830,,706,35.1,europe,0
blr,1830,,651,36.2,europe,0
blz,1830,,621,26.5,americas,0
bmu,1830,,1317,,americas,0
bol,1830,,941,33,americas,0
bra,1830,,1135,31.99,americas,0
brb,1830,,980,32.12,americas,0
brn,1830,,1569,29.2,asia,0
btn,1830,,644,28.8,asia,0
bwa,1830,,418,33.6,africa,0
caf,1830,,446,30,africa,0
can,1830,,1651,39.04,americas,0
chanisl,1830,,,,europe,0
che,1830,,3008,38,europe,0
chl,1830,,986,32,americas,0
chn,1830,,985,32,asia,0
civ,1830,,916,31.16,africa,0
cmr,1830,,659,28.75,africa,0
cod,1830,,548,31.6,africa,0
cog,1830,,626,32.7,africa,0
cok,1830,,,,asia,0
col,1830,,990,32,americas,0
com,1830,,718,32.1,africa,0
cpv,1830,,554,33.8,africa,0
cri,1830,,869,30.21,americas,0
cub,1830,,1223,35.74,americas,0
cym,1830,,1115,,americas,0
cyp,1830,,963,38.5,europe,0
cze,1830,,2084,34.95,europe,0
deu,1830,,2023,38.37,europe,0
dji,1830,,827,29.9,africa,0
dma,1830,,711,,americas,0
dnk,1830,,2212,34.11,europe,0
dom,1830,,706,29.9,americas,0
dza,1830,,819,28.82,africa,0
ecu,1830,,566,32.9,americas,0
egy,1830,,830,33,africa,0
eri,1830,,547,30.2,africa,0
esh,1830,,34.75,,africa,0
esp,1830,,1559,29.5,europe,0
est,1830,,1024,35.38,europe,0
eth,1830,,526,26,africa,0
fin,1830,,1360,36.3,europe,0
fji,1830,,814,26.1,asia,0
flk,1830,,,,americas,0
fra,1830,,1798,39.56,europe,0
fro,1830,,,,europe,0
fsm,1830,,528,26.7,asia,0
gab,1830,,392,30.6,africa,0
gbm,1830,,,,europe,0
gbr,1830,,3659,43.02,europe,0
geo,1830,,571,31.87,europe,0
gha,1830,,712,28,africa,0
gib,1830,,,,europe,0
gin,1830,,461,29.81,africa,0
glp,1830,,27.66,,americas,0
gmb,1830,,828,28.8,africa,0
gnb,1830,,786,32,africa,0
gnq,1830,,370,29.8,africa,0
grc,1830,,1540,36.6,europe,0
grd,1830,,1003,31.4,americas,0
grl,1830,,439,33.87,europe,0
gtm,1830,,932,25.8,americas,0
guf,1830,,30.5,,americas,0
gum,1830,,27.5,,asia,0
guy,1830,,1302,31.12,americas,0
hkg,1830,,1032,34.9,asia,0
hnd,1830,,769,33.9,americas,0
hos,1830,,,,europe,0
hrv,1830,,1465,36.1,europe,0
hti,1830,,703,29,americas,0
hun,1830,,1354,36,europe,0
idn,1830,,1012,30,asia,0
ind,1830,,1051,25.44,asia,0
irl,1830,,1673,38.3,europe,0
irn,1830,,998,25.6,asia,0
irq,1830,,1013,31.2,asia,0
isl,1830,,1036,40.5,europe,0
isr,1830,,883,32,asia,0
ita,1830,,2469,29.69,europe,0
jam,1830,,1080,34.2,americas,0
jor,1830,,1019,31.7,asia,0
jpn,1830,,1094,36.41,asia,0
kaz,1830,,1245,26.2,asia,0
ken,1830,,938,25.5,africa,0
kgz,1830,,556,23.94,asia,0
khm,1830,,920,35,asia,0
kir,1830,,566,24.9,asia,0
kna,1830,,1249,,americas,0
kor,1830,,558,25.8,asia,0
kwt,1830,,1228,26,asia,0
lao,1830,,888,31.9,asia,0
lbn,1830,,1177,29.7,asia,0
lbr,1830,,821,31.1,africa,0
lby,1830,,1190,33.1,africa,0
lca,1830,,906,28.01,americas,0
lie,1830,,,,europe,0
lka,1830,,909,32.6,asia,0
lso,1830,,400,32.8,africa,0
ltu,1830,,1387,28.9,europe,0
lux,1830,,1640,36.9,europe,0
lva,1830,,820,33,europe,0
mac,1830,,1030,34.7,asia,0
mar,1830,,729,33.1,africa,0
mco,1830,,2247,,europe,0
mda,1830,,658,33.15,europe,0
mdg,1830,,603,30.5,africa,0
mdv,1830,,844,32.65,asia,0
mex,1830,,1352,26.9,americas,0
mhl,1830,,549,,asia,0
mkd,1830,,751,36.1,europe,0
mli,1830,,606,26.41,africa,0
mlt,1830,,859,28.7,europe,0
mmr,1830,,843,30.8,asia,0
mne,1830,,1151,35.4,europe,0
mng,1830,,604,31.8,asia,0
mnp,1830,,,,asia,0
moz,1830,,397,30.28,africa,0
mrt,1830,,555,32,africa,0
msr,1830,,,,americas,0
mtq,1830,,30.15,,americas,0
mus,1830,,989,33.41,africa,0
mwi,1830,,351,30.3,africa,0
mys,1830,,1020,30.6,asia,0
myt,1830,,32.5,,africa,0
nam,1830,,629,32.4,africa,0
ncl,1830,,26,,asia,0
ner,1830,,470,30.8,africa,0
nga,1830,,923,30.4,africa,0
nic,1830,,1085,25.4,americas,0
niu,1830,,,,asia,0
nld,1830,,3865,39.86,europe,0
nor,1830,,1403,45.75,europe,0
npl,1830,,657,32.8,asia,0
nru,1830,,583,,asia,0
nzl,1830,,661,34.05,asia,0
omn,1830,,957,32.3,asia,0
pak,1830,,1020,25.8,asia,0
pan,1830,,951,32.9,americas,0
per,1830,,1239,35.7,americas,0
phl,1830,,979,30.9,asia,0
plw,1830,,870,,asia,0
png,1830,,567,31.5,asia,0
pol,1830,,1359,35.9,europe,0
pri,1830,,1456,30.43,americas,0
prk,1830,,561,26,asia,0
prt,1830,,1692,35.6,europe,0
pry,1830,,949,35.5,americas,0
pse,1830,,1225,32.1,asia,0
pyf,1830,,25.6,,asia,0
qat,1830,,1228,30.8,asia,0
reu,1830,,33,,africa,0
rou,1830,,937,35.7,europe,0
rus,1830,,1562,29.57,europe,0
rwa,1830,,448,31.8,africa,0
sau,1830,,868,32.1,asia,0
sdn,1830,,546,31.4,africa,0
sen,1830,,523,25.2,africa,0
sgp,1830,,1047,34,asia,0
shn,1830,,,,africa,0
slb,1830,,377,25.1,asia,0
sle,1830,,772,25.1,africa,0
slv,1830,,1063,28.7,americas,0
smr,1830,,1479,,europe,0
som,1830,,714,29.4,africa,0
spm,1830,,,,americas,0
srb,1830,,1478,35.5,europe,0
ssd,1830,,534,26.67,africa,0
stp,1830,,899,31,africa,0
sur,1830,,1756,32.9,americas,0
svk,1830,,1552,36.4,europe,0
svn,1830,,1533,36.6,europe,0
swe,1830,,1527,40.97,europe,0
swz,1830,,515,32.3,africa,0
syc,1830,,891,37,africa,0
syr,1830,,1097,31.1,asia,0
tca,1830,,522,,americas,0
tcd,1830,,440,30.9,africa,0
tgo,1830,,718,31.3,africa,0
tha,1830,,947,30.4,asia,0
tjk,1830,,593,24.24,asia,0
tkl,1830,,,,asia,0
tkm,1830,,1030,24,asia,0
tls,1830,,553,28.95,asia,0
ton,1830,,687,28.2,asia,0
tto,1830,,1303,32.9,americas,0
tun,1830,,753,28.8,africa,0
tur,1830,,1291,35,europe,0
tuv,1830,,746,,asia,0
twn,1830,,1000,28.3,asia,0
tza,1830,,579,32.2,africa,0
uga,1830,,488,25.3,africa,0
ukr,1830,,833,36.6,europe,0
ury,1830,,2228,32.9,americas,0
usa,1830,,2551,39.41,americas,0
uzb,1830,,519,26.93,asia,0
vct,1830,,899,25.99,americas,0
ven,1830,,715,32.2,americas,0
vgb,1830,,,,americas,0
vir,1830,,33.4,,americas,0
vnm,1830,,857,32,asia,0
vut,1830,,607,24.3,asia,0
wlf,1830,,,,asia,0
wsm,1830,,1453,25.4,asia,0
yem,1830,,955,23.39,asia,0
zaf,1830,,1633,33.5,africa,0
zmb,1830,,713,32.6,africa,0
zwe,1830,,901,33.7,africa,0
abw,1832,,906,34.42,americas,0
afg,1832,,630,27.88,asia,0
ago,1832,,711,26.98,africa,0
aia,1832,,,,americas,0
alb,1832,,688,35.4,europe,0
and,1832,,1431,,europe,0
ant,1832,,,,americas,0
are,1832,,1124,30.7,asia,0
arg,1832,,1791,33.2,americas,0
arm,1832,,540,34,europe,0
asm,1832,,,,asia,0
atg,1832,,823,33.54,americas,0
aus,1832,,1478,34.05,asia,0
aut,1832,,2401,34.4,europe,0
aze,1832,,832,29.17,europe,0
bdi,1832,,431,31.5,africa,0
bel,1832,,2558,40.26,europe,0
ben,1832,,634,31,africa,0
bfa,1832,,488,29.2,africa,0
bgd,1832,,876,25.5,asia,0
bgr,1832,,1158,37.21,europe,0
bhr,1832,,1417,30.3,asia,0
bhs,1832,,1571,35.18,americas,0
bih,1832,,713,35.1,europe,0
blr,1832,,659,36.2,europe,0
blz,1832,,629,26.5,americas,0
bmu,1832,,1335,,americas,0
bol,1832,,959,33,americas,0
bra,1832,,1140,31.99,americas,0
brb,1832,,993,32.12,americas,0
brn,1832,,1579,29.2,asia,0
btn,1832,,646,28.8,asia,0
bwa,1832,,422,33.6,africa,0
caf,1832,,451,30,africa,0
can,1832,,1701,39.17,americas,0
chanisl,1832,,,,europe,0
che,1832,,3072,38,europe,0
chl,1832,,998,32,americas,0
chn,1832,,985,32,asia,0
civ,1832,,923,31.16,africa,0
cmr,1832,,665,28.75,africa,0
cod,1832,,553,31.6,africa,0
cog,1832,,629,32.7,africa,0
cok,1832,,,,asia,0
col,1832,,995,32,americas,0
com,1832,,719,32.1,africa,0
cpv,1832,,559,33.8,africa,0
cri,1832,,889,30.21,americas,0
cub,1832,,1252,36.02,americas,0
cym,1832,,1130,,americas,0
cyp,1832,,986,38.5,europe,0
cze,1832,,2118,34.95,europe,0
deu,1832,,2038,38.37,europe,0
dji,1832,,832,29.9,africa,0
dma,1832,,721,,americas,0
dnk,1832,,2259,32.53,europe,0
dom,1832,,714,29.9,americas,0
dza,1832,,837,28.82,africa,0
ecu,1832,,573,32.9,americas,0
egy,1832,,838,33,africa,0
eri,1832,,550,30.2,africa,0
esh,1832,,34.75,,africa,0
esp,1832,,1566,29.5,europe,0
est,1832,,1038,36.71,europe,0
eth,1832,,526,29.7,africa,0
fin,1832,,1374,28.95,europe,0
fji,1832,,820,26.1,asia,0
flk,1832,,,,americas,0
fra,1832,,1909,35.81,europe,0
fro,1832,,,,europe,0
fsm,1832,,528,26.7,asia,0
gab,1832,,392,30.6,africa,0
gbm,1832,,,,europe,0
gbr,1832,,3724,40.16,europe,0
geo,1832,,576,31.87,europe,0
gha,1832,,714,28,africa,0
gib,1832,,,,europe,0
gin,1832,,463,29.83,africa,0
glp,1832,,27.66,,americas,0
gmb,1832,,829,28.8,africa,0
gnb,1832,,787,32,africa,0
gnq,1832,,371,29.8,africa,0
grc,1832,,1566,36.6,europe,0
grd,1832,,1012,31.4,americas,0
grl,1832,,448,33.87,europe,0
gtm,1832,,948,25.81,americas,0
guf,1832,,30.5,,americas,0
gum,1832,,27.5,,asia,0
guy,1832,,1320,31.12,americas,0
hkg,1832,,1037,34.9,asia,0
hnd,1832,,789,33.9,americas,0
hos,1832,,,,europe,0
hrv,1832,,1489,36.1,europe,0
hti,1832,,718,29,americas,0
hun,1832,,1375,36,europe,0
idn,1832,,1015,30,asia,0
ind,1832,,1051,23,asia,0
irl,1832,,1721,38.3,europe,0
irn,1832,,1002,25.6,asia,0
irq,1832,,1021,31.2,asia,0
isl,1832,,1058,39.07,europe,0
isr,1832,,884,32,asia,0
ita,1832,,2577,29.69,europe,0
jam,1832,,1062,34.2,americas,0
jor,1832,,1028,31.7,asia,0
jpn,1832,,1097,36.41,asia,0
kaz,1832,,1261,26.2,asia,0
ken,1832,,943,25.5,africa,0
kgz,1832,,566,23.94,asia,0
khm,1832,,922,35,asia,0
kir,1832,,567,24.9,asia,0
kna,1832,,1266,,americas,0
kor,1832,,557,25.8,asia,0
kwt,1832,,1237,26,asia,0
lao,1832,,892,31.9,asia,0
lbn,1832,,1193,29.7,asia,0
lbr,1832,,825,31.1,africa,0
lby,1832,,1220,33.1,africa,0
lca,1832,,912,28.01,americas,0
lie,1832,,,,europe,0
lka,1832,,911,32.6,asia,0
lso,1832,,400,32.8,africa,0
ltu,1832,,1405,28.9,europe,0
lux,1832,,1679,36.9,europe,0
lva,1832,,831,33,europe,0
mac,1832,,1037,34.7,asia,0
mar,1832,,732,33.1,africa,0
mco,1832,,2300,,europe,0
mda,1832,,665,33.15,europe,0
mdg,1832,,609,30.5,africa,0
mdv,1832,,844,32.65,asia,0
mex,1832,,1346,26.9,americas,0
mhl,1832,,550,,asia,0
mkd,1832,,763,36.1,europe,0
mli,1832,,607,26.41,africa,0
mlt,1832,,875,28.7,europe,0
mmr,1832,,844,30.8,asia,0
mne,1832,,1170,35.4,europe,0
mng,1832,,606,31.8,asia,0
mnp,1832,,,,asia,0
moz,1832,,398,30.28,africa,0
mrt,1832,,561,32,africa,0
msr,1832,,,,americas,0
mtq,1832,,30.15,,americas,0
mus,1832,,999,31.27,africa,0
mwi,1832,,352,30.3,africa,0
mys,1832,,1024,30.6,asia,0
myt,1832,,32.5,,africa,0
nam,1832,,648,32.4,africa,0
ncl,1832,,26,,asia,0
ner,1832,,474,30.8,africa,0
nga,1832,,932,30.4,africa,0
nic,1832,,1109,25.4,americas,0
niu,1832,,,,asia,0
nld,1832,,4334,39.86,europe,0
nor,1832,,1313,47.62,europe,0
npl,1832,,657,32.8,asia,0
nru,1832,,589,,asia,0
nzl,1832,,661,34.05,asia,0
omn,1832,,965,32.3,asia,0
pak,1832,,1021,25.8,asia,0
pan,1832,,973,32.9,americas,0
per,1832,,1245,35.7,americas,0
phl,1832,,982,30.9,asia,0
plw,1832,,876,,asia,0
