geo,time,POP,GDP,LEX,world_region,
fro,1804,13537,,,europe,0
fsm,1804,16416,519,26.7,asia,0
gab,1804,158227,390,30.6,africa,0
gbm,1804,23533,,,europe,0
gbr,1804,12965089,3289,41.44,europe,0
geo,1804,1072178,543,31.87,europe,0
gha,1804,2016034,698,28,africa,0
gib,1804,9873,,,europe,0
gin,1804,983959,450,29.54,africa,0
glp,1804,80726,27.66,,americas,0
gmb,1804,103274,815,28.8,africa,0
gnb,1804,218167,778,32,africa,0
gnq,1804,80377,357,29.8,africa,0
grc,1804,2182403,1380,36.6,europe,0
grd,1804,29409,959,31.4,americas,0
grl,1804,9584,394,33.87,europe,0
gtm,1804,483423,858,25.8,americas,0
guf,1804,9899,30.5,,americas,0
gum,1804,6949,27.5,,asia,0
guy,1804,166034,1215,31.12,americas,0
hkg,1804,20000,1007,34.9,asia,0
hnd,1804,130777,675,33.9,americas,0
hos,1804,905,,,europe,0
hrv,1804,1227886,1117,36.1,europe,0
hti,1804,723000,634,29,americas,0
hun,1804,3620408,1249,36,europe,0
idn,1804,16277868,995,30,asia,0
ind,1804,169908450,1051,23.5,asia,0
irl,1804,4245511,1447,38.3,europe,0
irn,1804,6326731,977,25.6,asia,0
irq,1804,1080117,970,31.2,asia,0
isl,1804,61428,927,24.76,europe,0
isr,1804,209954,880,32,asia,0
ita,1804,19085518,2431,29.69,europe,0
jam,1804,401000,1170,34.2,americas,0
jor,1804,217000,976,31.7,asia,0
jpn,1804,30434206,1055,36.4,asia,0
kaz,1804,2041282,1145,26.2,asia,0
ken,1804,2574000,864,25.5,africa,0
kgz,1804,530343,508,23.94,asia,0
khm,1804,2090000,904,35,asia,0
kir,1804,17876,553,24.9,asia,0
kna,1804,17202,1165,,americas,0
kor,1804,9395000,573,25.8,asia,0
kwt,1804,81280,1114,26,asia,0
lao,1804,470000,865,31.9,asia,0
lbn,1804,332000,1084,29.7,asia,0
lbr,1804,313543,797,31.1,africa,0
lby,1804,532771,1050,33.1,africa,0
lca,1804,24000,875,28.01,americas,0
lie,1804,5802,,,europe,0
lka,1804,1213000,898,32.6,asia,0
lso,1804,276361,394,32.8,africa,0
ltu,1804,778655,1276,28.9,europe,0
lux,1804,127030,1454,36.9,europe,0
lva,1804,590588,754,33,europe,0
mac,1804,18761,993,34.7,asia,0
mar,1804,2539318,715,33.1,africa,0
mco,1804,7789,1958,,europe,0
mda,1804,712558,621,33.15,europe,0
mdg,1804,1570144,573,30.5,africa,0
mdv,1804,42378,843,32.65,asia,0
mex,1804,6260721,1379,26.9,americas,0
mhl,1804,5828,540,,asia,0
mkd,1804,391865,690,36.1,europe,0
mli,1804,1403398,603,26.41,africa,0
mlt,1804,134072,782,28.7,europe,0
mmr,1804,3506000,840,30.8,asia,0
mne,1804,126582,1058,35.4,europe,0
mng,1804,619000,592,31.8,asia,0
mnp,1804,3360,,,asia,0
moz,1804,2004555,391,30.28,africa,0
mrt,1804,382696,528,32,africa,0
msr,1804,5230,,,americas,0
mtq,1804,84039,30.15,,americas,0
mus,1804,68415,941,28.7,africa,0
mwi,1804,737000,350,30.3,africa,0
mys,1804,287000,997,30.6,asia,0
myt,1804,8219,32.5,,africa,0
nam,1804,229000,540,32.4,africa,0
ncl,1804,29432,26,,asia,0
ner,1804,1244861,446,30.8,africa,0
nga,1804,12100855,857,30.4,africa,0
nic,1804,219387,974,25.4,americas,0
niu,1804,4534,,,asia,0
nld,1804,2270004,4500,39.86,europe,0
nor,1804,887970,1286,40.52,europe,0
npl,1804,3881000,654,32.8,asia,0
nru,1804,1834,554,,asia,0
nzl,1804,100000,659,34.05,asia,0
omn,1804,318000,916,32.3,asia,0
pak,1804,13227451,1021,25.8,asia,0
pan,1804,78842,848,32.9,americas,0
per,1804,1314720,1204,35.7,americas,0
phl,1804,1894389,962,30.9,asia,0
plw,1804,3875,839,,asia,0
png,1804,754894,547,31.5,asia,0
pol,1804,9685503,1231,35.9,europe,0
pri,1804,170378,1376,30.43,americas,0
prk,1804,4345000,576,26,asia,0
prt,1804,3084421,1685,35.6,europe,0
pry,1804,143000,836,35.5,americas,0
pse,1804,165944,1220,32.1,asia,0
pyf,1804,62845,25.6,,asia,0
qat,1804,14092,1114,30.8,asia,0
reu,1804,92744,33,,africa,0
rou,1804,5637681,816,35.7,europe,0
rus,1804,31088398,1437,29.57,europe,0
rwa,1804,928368,433,31.8,africa,0
sau,1804,2091000,848,32.1,asia,0
sdn,1804,4015320,519,31.4,africa,0
sen,1804,1009886,497,25.2,africa,0
sgp,1804,30000,1021,29.1,asia,0
shn,1804,1997,,,africa,0
slb,1804,56998,363,25.1,asia,0
sle,1804,794264,734,25.1,africa,0
slv,1804,248000,975,28.7,americas,0
smr,1804,5492,1411,,europe,0
som,1804,993185,696,29.4,africa,0
spm,1804,1782,,,americas,0
srb,1804,2147197,1359,35.5,europe,0
ssd,1804,1032822,508,26.67,africa,0
stp,1804,22731,857,31,africa,0
sur,1804,80721,1637,32.9,americas,0
svk,1804,2140651,1428,36.4,europe,0
svn,1804,469664,1409,36.6,europe,0
swe,1804,2393815,1358,39.7,europe,0
swz,1804,86000,490,32.3,africa,0
syc,1804,12522,804,37,africa,0
syr,1804,1337000,1081,31.1,asia,0
tca,1804,3296,487,,americas,0
tcd,1804,1432000,418,30.9,africa,0
tgo,1804,445985,683,31.3,africa,0
tha,1804,4665000,931,30.4,asia,0
tjk,1804,466629,557,24.24,asia,0
tkl,1804,1008,,,asia,0
tkm,1804,367215,947,24,asia,0
tls,1804,137262,525,28.95,asia,0
ton,1804,18643,663,28.2,asia,0
tto,1804,60000,1231,32.9,americas,0
tun,1804,864608,716,28.8,africa,0
tur,1804,9832839,1221,35,europe,0
tuv,1804,2499,719,,asia,0
twn,1804,2000000,996,28.3,asia,0
tza,1804,3019768,562,32.2,africa,0
uga,1804,2101397,464,25.3,africa,0
ukr,1804,11215490,767,36.6,europe,0
ury,1804,55000,1758,32.9,americas,0
usa,1804,7343995,2165,39.41,americas,0
uzb,1804,1919159,503,26.93,asia,0
vct,1804,25781,838,25.99,americas,0
ven,1804,718000,682,32.2,americas,0
vgb,1804,6700,,,americas,0
vir,1804,40000,33.4,,americas,0
vnm,1804,6551000,861,32,asia,0
vut,1804,27791,586,24.3,asia,0
wlf,1804,3721,,,asia,0
wsm,1804,47268,1401,25.4,asia,0
yem,1804,2593000,887,23.39,asia,0
zaf,1804,1462023,1480,33.5,africa,0
zmb,1804,747000,670,32.6,africa,0
